"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.72203721009207e-06,0.457121926110653,0.31,0.222,0.0841531838331427,"0","BIN1"
6.77389879132412e-06,0.70344861451324,0.307,0.222,0.0848024389685867,"0","SNHG8"
1.37477174334946e-05,0.507317208758432,0.262,0.182,0.172107674549919,"0","FAIM3"
1.4812665305928e-05,0.34470855441848,0.378,0.293,0.185439756964913,"0","GIMAP1"
2.29064616747933e-05,0.30070755783122,0.297,0.213,0.286765993706738,"0","KRT10"
2.68149015993532e-05,0.313288649795635,0.587,0.486,0.335695753122303,"0","HMGN1"
2.69640393423626e-05,0.413471143841201,0.259,0.183,0.337562808527038,"0","HSPE1"
2.94849901828076e-05,0.649191156283934,0.363,0.28,0.369122592098569,"0","RBMX"
4.64472019942605e-05,0.265963608506486,0.531,0.443,0.581472521766147,"0","ANAPC16"
4.96664152941674e-05,0.288944777979593,0.588,0.508,0.621773853067681,"0","EIF3L"
6.98482746784276e-05,0.467119895745183,0.282,0.212,0.874430550699235,"0","EIF4B"
7.9571707211968e-05,0.359071572690884,0.491,0.413,0.996158202586628,"0","COX6C"
9.26307752226262e-05,0.301093515534275,0.318,0.238,1,"0","SNHG7"
0.00010235222968543,0.491008695305317,0.272,0.2,1,"0","MRPS21"
0.000106459294562822,0.263846918001885,0.687,0.619,1,"0","EIF3F"
0.000174785108875619,0.376779769893282,0.443,0.363,1,"0","NDUFS5"
0.000191948789335638,0.432470393626593,0.272,0.203,1,"0","TSTD1"
0.000255425674059022,0.252165841150884,0.601,0.516,1,"0","PNRC1"
0.000449748786818551,0.600628108150207,0.275,0.21,1,"0","DDX24"
0.000538634792321372,0.54841495366009,0.297,0.231,1,"0","PCNP"
0.000547773716753116,0.524233595390211,0.426,0.351,1,"0","SMDT1"
0.000556619056306143,0.320455205488487,0.321,0.252,1,"0","C19orf60"
0.000570461527790236,0.380940092986511,0.279,0.215,1,"0","ARHGEF1"
0.000671639342998117,0.450886901835001,0.275,0.211,1,"0","SEPT1"
0.000726418587112332,0.306792320292197,0.403,0.337,1,"0","YWHAZ"
0.000816054766678736,0.282180795676004,0.251,0.19,1,"0","HAX1"
0.000860976993086171,0.36985597001756,0.375,0.306,1,"0","YPEL5"
0.000902332875657994,0.371130569728506,0.44,0.37,1,"0","EIF3D"
0.00101334742032977,0.254993223293927,0.41,0.338,1,"0","DAD1"
0.00126461188223702,0.269303817289692,0.496,0.423,1,"0","HNRNPA0"
0.00136142691747392,0.318449140218487,0.275,0.213,1,"0","NHP2"
0.00165454330795089,0.389217861608849,0.291,0.232,1,"0","TNFAIP8"
0.00182774903481849,0.386446537222332,0.459,0.389,1,"0","UBE2D2"
0.0030076017749173,0.561907899519707,0.29,0.233,1,"0","RWDD1"
0.00390967542087973,0.256472949229841,0.209,0.262,1,"0","NDUFA2"
0.00457689055599172,0.269829132418519,0.36,0.302,1,"0","SRP9"
0.00471386457712083,0.330156244360683,0.34,0.284,1,"0","SF1"
0.00516024878108214,0.250422757610708,0.734,0.671,1,"0","CD48"
0.00568853382633291,0.271870719384328,0.562,0.492,1,"0","NDUFA4"
0.0058268917397531,0.255684950098249,0.328,0.276,1,"0","CSDE1"
0,6.65462502874641,0.965,0.107,0,"1","S100A8"
